Marca temporal,"Despois de ler a información sobre o estudo, acepta participar de forma voluntaria? ",Idade  ,Sexo, Anos de experiencia profesional en enfermaría  , Nivel educativo  ,  Área Sanitaria na que traballa  ,Ámbito de traballo,"Con que frecuencia usa tecnoloxía dixital na súa práctica clínica fora dos programas corporativos?   ""A tecnoloxía dixital inclúe calquera ferramenta electrónica ou software que empregue na súa práctica clínica, como historias clínicas electrónicas, aplicacións de xestión de pacientes, plataformas de teleconsulta, sistemas de prescrición electrónica, dispositivos de monitorización dixital ou ferramentas de apoio á toma de decisións clínicas baseadas en datos"".  ",En que medida comprende o concepto de Intelixencia Artificial (IA)?  ,Usa IA no seu traballo para planificar ou realizar coidados?  ,Recibiu formación en IA ou educación previa sobre este tema?  ,Gustaríalle recibir formación sobre IA en saúde?  ,Que importancia lle dá á formación en intelixencia artificial para o seu desenvolvemento profesional?  ,1.Creo que o uso da IA na miña especialidade podería mellorar a atención aos pacientes.  ,2. Creo que o uso da IA na miña especialidade podería mellorar a toma de decisións clínicas   ,3.Creo que a IA pode mellorar os indicadores de saúde da poboación  ,4.Creo que a IA pode cambiar o meu papel como profesional sanitario no futuro  ,5.Creo que a introdución da IA pode reducir o custo económico asociado ao meu traballo   ,6.Creo que algún día a IA poderá formar parte do meu traballo como profesional sanitario    ,7.Creo que a maioría dos profesionais sanitarios están preparados para a introdución da tecnoloxía baseada en IA      ,8.Creo que recibín unha formación adecuada para usar IA no meu traballo        ,9.Creo que existe un marco ético para o uso da tecnoloxía baseada en IA no meu lugar de traballo        ,"10.Creo que, se a tecnoloxía baseada en IA comete un erro, toda a responsabilidade recae no profesional sanitario  ","Que desafíos considera como os principais obstáculos para a integración da IA na súa práctica clínica?  (Falta de formación, dúbidas na ética, implementación, infraestructura, desembolso económico e demáis temáticas que considere importantes)","En que áreas de formación sobre IA estaría interesado/a recibir capacitación? (""Ningunha"" ou ""non sei"" tamén son respostas válidas)"
25/03/2025 11:21:21,Sí,28,Muller,1-5 anos,Máster,Santiago-Barbanza,Urbano,Sempre,Bastante,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,En desacordo,En desacordo,En desacordo,Nin de acordo nin en desacordo,Falta de formación ,Non sei
25/03/2025 13:38:10,Sí,34,Muller,1-5 anos,Grado,Santiago-Barbanza,Urbano,Ás veces,Bastante,Non,Ningunha,Sí,Importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,En desacordo,Nin de acordo nin en desacordo,En desacordo,Desembolso económico y formación ,"Interpretación de ECG, síntomas y curas"
25/03/2025 14:17:25,Sí,35,Muller,6-10 anos,Grado,Santiago-Barbanza,Urbano,Raramente,Bastante,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,Totalmente de acordo,Formación e actualización dos profesionais,Todo e receptivo de ter unha mellora coa IA. 
25/03/2025 15:39:09,Sí,37,Muller,6-10 anos,Doutorado,Ourense-Verín-O Barco,Urbano,Frecuentemente,Bastante,Non sei,Ningunha,Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,En desacordo,Totalemnte en desacordo,En desacordo,Nin de acordo nin en desacordo,Falta de formación e falta de tempo,Valoración de feridas por exemplo
26/03/2025 9:25:29,Sí,35,Muller,6-10 anos,Grado,Ferrol,Urbano,Sempre,Algo,Non,Ningunha,Sí,Pouco importante,De acordo,Nin de acordo nin en desacordo,De acordo,De acordo,De acordo,Totalmente de acordo,En desacordo,Totalemnte en desacordo,Nin de acordo nin en desacordo,De acordo,Principalmente la falta de formación,No lo sé la verdad 
26/03/2025 12:55:36,Sí,35,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Raramente,Algo,Non,Formación no traballo,Sí,Importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,En desacordo,En desacordo,Totalemnte en desacordo,Falta de formación,Non sei 
31/03/2025 11:11:10,Sí,60,Muller,>10 anos,Grado,Santiago-Barbanza,Rural,Sempre,Bastante,Sí,Formación no traballo,Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,Totalmente de acordo,De acordo,Totalmente de acordo,Totalmente de acordo,En desacordo,En desacordo,Totalmente de acordo,Totalemnte en desacordo,Falta de conocimientos,en uso a nivel informatico
31/03/2025 11:16:03,Sí,49,Home,>10 anos,Grado,Santiago-Barbanza,Rural,Nunca,Algo,Non,Ningunha,Sí,Algo importante,De acordo,De acordo,Nin de acordo nin en desacordo,En desacordo,De acordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,En desacordo,Totalmente de acordo,Falta formación ,Urxencias 
31/03/2025 11:25:14,Sí,26,Muller,1-5 anos,Máster,Santiago-Barbanza,Rural,Ás veces,Bastante,Sí,Ningunha,Sí,Algo importante,De acordo,De acordo,De acordo,De acordo,De acordo,De acordo,Totalemnte en desacordo,Totalemnte en desacordo,Totalemnte en desacordo,De acordo,"Falta de formación, posibilidade de usala para realizar diagnosticos sen contrastar a información.",Revisión de bibliografía. Axuda a diagnostico/posibilidade de coidados. Analise de información santiaria (calendarios vacinales etc)
31/03/2025 11:26:13,Sí,30,Muller,1-5 anos,Máster,Santiago-Barbanza,Rural,Ás veces,Bastante,Non,"Cursos autodidactas (webinars, conferencias, etc.)",Sí,Moi importante,Totalmente de acordo,Totalmente de acordo,De acordo,De acordo,Totalemnte en desacordo,Totalmente de acordo,En desacordo,En desacordo,Totalmente de acordo,De acordo,FALTA DE FORMACIÓN,CAMBIOS NOS PROTOCOLOS DO PACIENTE CRÓNICO
